Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
122,119,0,3,2020-05-01 21:43:00,2020-05-01,0
122,119,0,3,2020-04-28 20:02:00,2020-04-28,0
122,119,0,3,2020-04-27 14:50:00,2020-04-27,0
122,117,0,5,2020-04-26 15:29:00,2020-04-26,0
122,117,0,5,2020-04-25 17:01:00,2020-04-25,0
122,110,0,12,2020-04-24 15:23:00,2020-04-24,0
122,110,0,12,2020-04-23 16:20:00,2020-04-23,0
122,110,0,12,2020-04-22 16:22:00,2020-04-22,0
122,110,0,12,2020-04-21 17:14:00,2020-04-21,0
122,107,0,15,2020-04-20 16:35:00,2020-04-20,0
122,105,0,17,2020-04-19 16:30:00,2020-04-19,0
122,103,0,19,2020-04-18 15:07:00,2020-04-18,0
122,98,0,24,2020-04-17 22:01:00,2020-04-17,0
122,98,0,24,2020-04-16 21:38:00,2020-04-16,0
122,96,0,26,2020-04-15 20:35:00,2020-04-15,0
122,91,0,31,2020-04-14 23:37:00,2020-04-14,0
122,77,0,45,2020-04-13 21:50:00,2020-04-13,0
122,77,0,45,2020-04-12 21:08:00,2020-04-12,2
120,75,0,45,2020-04-11 07:00:00,2020-04-11,1
119,72,0,47,2020-04-10 22:00:00,2020-04-10,0
119,62,0,57,2020-04-09 22:00:00,2020-04-09,2
117,63,0,54,2020-04-08 23:00:00,2020-04-08,0
117,63,0,54,2020-04-07 23:00:00,2020-04-07,3
114,53,0,61,2020-04-06 23:00:00,2020-04-06,0
114,50,0,64,2020-04-05 23:00:00,2020-04-05,0
114,50,0,64,2020-04-04 23:50:00,2020-04-04,0
114,35,0,79,2020-04-03 23:30:00,2020-04-03,0
114,35,0,79,2020-04-02 23:30:00,2020-04-02,4
110,34,0,76,2020-04-01 23:00:00,2020-04-01,1
109,23,0,86,2020-03-31 23:30:00,2020-03-31,2
107,21,0,86,2020-03-30 22:30:00,2020-03-30,4
103,21,0,82,2020-03-29 23:10:00,2020-03-29,0
103,21,0,82,2020-03-28 23:30:00,2020-03-28,4
99,13,0,86,2020-03-27 23:30:00,2020-03-27,1
98,10,0,88,2020-03-26 22:40:00,2020-03-26,2
96,10,0,86,2020-03-25 22:00:00,2020-03-25,5
91,4,0,87,2020-03-24 22:30:00,2020-03-24,4
87,2,0,85,2020-03-23 23:40:00,2020-03-23,3
84,2,0,82,2020-03-22 22:30:00,2020-03-22,31
53,2,0,51,2020-03-21 23:30:00,2020-03-21,2
51,1,0,50,2020-03-20 22:45:00,2020-03-20,14
37,1,0,36,2020-03-19 23:30:00,2020-03-19,0
37,1,0,36,2020-03-18 23:30:00,2020-03-18,4
33,1,0,32,2020-03-17 22:30:00,2020-03-17,21
12,1,0,11,2020-03-16 22:00:00,2020-03-16,0
12,1,0,11,2020-03-15 23:30:00,2020-03-15,5
7,1,0,6,2020-03-14 22:30:00,2020-03-14,0
7,1,0,6,2020-03-13 22:00:00,2020-03-13,2
5,1,0,4,2020-03-12 22:00:00,2020-03-12,2
3,1,0,2,2020-03-11 22:30:00,2020-03-11,0
3,1,0,2,2020-03-10 23:00:00,2020-03-10,1
2,1,0,1,2020-03-09 22:30:00,2020-03-09,0
2,1,0,1,2020-03-08 22:00:00,2020-03-08,0
2,1,0,1,2020-03-07 22:00:00,2020-03-07,1
1,1,0,0,2020-03-06 20:30:00,2020-03-06,0
1,1,0,0,2020-03-05 20:30:00,2020-03-05,0
1,1,0,0,2020-03-04 22:00:00,2020-03-04,0
1,1,0,0,2020-03-03 23:30:00,2020-03-03,0
1,1,0,0,2020-03-02 22:00:00,2020-03-02,0
1,1,0,0,2020-03-01 23:00:00,2020-03-01,0
1,1,0,0,2020-02-29 23:00:00,2020-02-29,0
1,1,0,0,2020-02-28 23:00:00,2020-02-28,0
1,1,0,0,2020-02-27 22:00:00,2020-02-27,0
1,1,0,0,2020-02-26 23:30:00,2020-02-26,0
1,1,0,0,2020-02-25 22:00:00,2020-02-25,0
1,1,0,0,2020-02-24 23:00:00,2020-02-24,0
1,1,0,0,2020-02-23 22:00:00,2020-02-23,0
1,1,0,0,2020-02-22 23:00:00,2020-02-22,0
1,1,0,0,2020-02-21 23:00:00,2020-02-21,0
1,1,0,0,2020-02-20 22:00:00,2020-02-20,0
1,1,0,0,2020-02-19 23:00:00,2020-02-19,0
1,1,0,0,2020-02-18 23:00:00,2020-02-18,0
1,1,0,0,2020-02-17 23:00:00,2020-02-17,0
1,1,0,0,2020-02-16 22:30:00,2020-02-16,0
1,1,0,0,2020-02-15 23:00:00,2020-02-15,0
1,1,0,0,2020-02-14 23:00:00,2020-02-14,0
1,1,0,0,2020-02-13 22:00:00,2020-02-13,0
1,1,0,0,2020-02-12 21:30:00,2020-02-12,0
1,1,0,0,2020-02-11 23:00:00,2020-02-11,0
1,1,0,0,2020-02-10 22:30:00,2020-02-10,0
1,1,0,0,2020-02-09 23:00:00,2020-02-09,0
1,1,0,0,2020-02-08 22:00:00,2020-02-08,0
1,1,0,0,2020-02-07 23:00:00,2020-02-07,0
1,0,0,1,2020-02-06 21:30:00,2020-02-06,0
1,0,0,1,2020-02-05 23:00:00,2020-02-05,0
1,0,0,1,2020-02-04 20:00:00,2020-02-04,0
1,0,0,1,2020-02-03 20:00:00,2020-02-03,0
1,0,0,1,2020-02-02 22:00:00,2020-02-02,0
1,0,0,1,2020-02-01 23:00:00,2020-02-01,0
1,0,0,1,2020-01-31 19:00:00,2020-01-31,0
1,0,0,1,2020-01-30 21:30:00,2020-01-30,0
1,0,0,1,2020-01-29 21:00:00,2020-01-29,0
1,0,0,1,2020-01-28 23:00:00,2020-01-28,0
1,0,0,1,2020-01-27 20:30:00,2020-01-27,1
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
